iter	Passed	Remaining
404	7813	5691
405	7832	5671
406	7852	5652
407	7869	5631
408	7889	5613
409	7907	5593
410	7928	5574
411	7946	5555
412	7965	5535
413	7983	5515
414	8004	5496
415	8023	5477
416	8042	5458
417	8063	5439
418	8080	5419
419	8098	5398
420	8115	5378
421	8132	5357
422	8164	5346
423	8182	5326
424	8200	5305
425	8217	5285
426	8233	5264
427	8252	5244
428	8270	5224
429	8290	5205
430	8307	5185
431	8326	5165
432	8345	5146
433	8363	5126
434	8382	5106
435	8401	5087
436	8424	5069
437	8445	5051
438	8464	5032
439	8484	5013
440	8502	4993
441	8522	4974
442	8540	4954
443	8560	4935
444	8578	4915
445	8598	4896
446	8618	4877
447	8637	4858
448	8658	4840
449	8675	4819
450	8696	4801
451	8714	4781
452	8732	4761
453	8751	4742
454	8769	4722
455	8789	4703
456	8811	4685
457	8833	4667
458	8853	4648
459	8872	4629
460	8890	4609
461	8909	4589
462	8929	4570
463	8949	4551
464	8970	4533
465	8987	4513
466	9008	4494
467	9028	4475
468	9048	4456
469	9068	4437
470	9085	4417
471	9106	4398
472	9126	4380
473	9145	4360
474	9163	4340
475	9182	4321
476	9202	4302
477	9221	4282
478	9241	4263
479	9261	4244
480	9282	4226
481	9301	4207
482	9321	4187
483	9341	4168
484	9359	4148
485	9380	4130
486	9404	4113
487	9421	4092
488	9439	4073
489	9457	4053
490	9477	4034
491	9496	4014
492	9516	3995
493	9538	3977
494	9558	3958
495	9578	3939
496	9599	3920
497	9618	3901
498	9637	3882
499	9656	3862
500	9677	3843
501	9696	3824
502	9717	3805
503	9735	3786
504	9753	3766
505	9770	3746
506	9791	3727
507	9811	3708
508	9828	3688
509	9848	3668
510	9866	3649
511	9887	3630
512	9905	3610
513	9925	3591
514	9946	3573
515	9966	3553
516	9984	3534
517	10002	3514
518	10020	3494
519	10037	3474
520	10055	3454
521	10073	3435
522	10092	3415
523	10112	3396
524	10130	3376
525	10150	3357
526	10169	3338
527	10189	3319
528	10209	3300
529	10230	3281
530	10248	3261
531	10267	3242
532	10288	3223
533	10308	3204
534	10328	3185
535	10348	3166
536	10367	3146
537	10387	3127
538	10406	3108
539	10425	3088
