iter	Logloss
0	0.6685228566
1	0.6446383626
2	0.6240741402
3	0.604460783
4	0.5856029852
5	0.5681578654
6	0.5526322307
7	0.5372586704
8	0.5228925671
9	0.5094990054
10	0.4971206888
11	0.485494154
12	0.4757339698
13	0.4654062343
14	0.4561483301
15	0.4477710587
16	0.4400022484
17	0.4327445167
18	0.4256582962
19	0.4192122172
20	0.4130758776
21	0.4071915777
22	0.402312808
23	0.3976774885
24	0.3933326111
25	0.3888292468
26	0.3848152569
27	0.3813123024
28	0.3778521003
29	0.3746668739
30	0.3715858266
31	0.3686543402
32	0.3663544167
33	0.3639003475
34	0.3616238677
35	0.3595725441
36	0.357365703
37	0.3553068765
38	0.3534548471
39	0.3518561363
40	0.3500859674
41	0.3486692129
42	0.3471482165
43	0.345812195
44	0.3445621755
45	0.3433294251
46	0.3421374447
47	0.3411628187
48	0.3400455748
49	0.3391112011
50	0.3381009576
51	0.3373003576
52	0.3365139142
53	0.3356313586
54	0.3348816049
55	0.3341519315
56	0.3336213131
57	0.3329903121
58	0.332366313
59	0.3317756575
60	0.3313589967
61	0.3307922626
62	0.3303079705
63	0.3297846036
64	0.3293572283
65	0.3289094224
66	0.3284818454
67	0.3280914048
68	0.3277106129
69	0.3273833829
70	0.3270224865
71	0.3266432928
72	0.3262862621
73	0.3259600647
74	0.3256955122
75	0.325446627
76	0.3251619542
77	0.3249070238
78	0.324648958
79	0.3244654077
80	0.3242022074
81	0.3240287761
82	0.3238171895
83	0.3235841405
84	0.3233736087
85	0.3232206121
86	0.3230265044
87	0.32280129
88	0.3225932902
89	0.3224515255
90	0.3222748778
91	0.3221193847
92	0.3219485633
93	0.3217770843
94	0.3216207474
95	0.3214694775
96	0.3213876473
97	0.3212533768
98	0.3210977443
99	0.3209724135
100	0.3208601811
101	0.3207374672
102	0.3206156947
103	0.3204721871
104	0.3203718459
105	0.3202627095
106	0.3201463595
107	0.3200507807
108	0.3199786177
109	0.3198808721
110	0.3197716338
111	0.3196700562
112	0.3195743886
113	0.3194950957
114	0.3194069148
115	0.3193276908
116	0.3192342373
117	0.3191528694
118	0.3190832839
119	0.3190055244
120	0.3189174988
121	0.3188395211
122	0.3187531814
123	0.3186639596
124	0.3185705358
125	0.3185050842
126	0.3184298204
127	0.3183506775
128	0.3182792383
129	0.3182096116
130	0.3181379328
131	0.3180765641
132	0.3180119248
133	0.3179507379
134	0.3178802997
135	0.3178039556
136	0.3177399827
137	0.3176923754
138	0.317623694
139	0.3175766819
140	0.3175108316
141	0.3174499068
142	0.3173843015
143	0.3173269705
144	0.3172749335
145	0.3172252227
146	0.3171727446
147	0.3171120439
148	0.3170538783
149	0.3170020931
150	0.316946822
151	0.316896654
152	0.3168520024
153	0.3168061455
154	0.3167525108
155	0.3167094663
156	0.3166644528
157	0.3166154596
158	0.3165747709
159	0.3165323437
160	0.3164923
161	0.3164505143
162	0.3164138422
163	0.3163603146
164	0.3163155804
165	0.3162804627
166	0.3162465758
167	0.3162128554
168	0.3161662921
169	0.3161236712
170	0.3160766025
171	0.3160333245
172	0.3159923247
173	0.315961175
174	0.3159208462
175	0.3158773783
176	0.315835443
177	0.3157930751
178	0.3157593156
179	0.3157271246
180	0.3156849139
181	0.3156487702
182	0.3156108827
183	0.3155834224
184	0.3155521927
185	0.3155195557
186	0.3154806227
187	0.3154501395
188	0.3154249021
189	0.3153969441
190	0.3153709345
191	0.3153366983
192	0.3153095088
193	0.3152815425
194	0.3152510861
195	0.3152255963
196	0.3151973023
197	0.3151702193
198	0.3151395107
199	0.3151114704
200	0.3150831628
201	0.3150531078
202	0.3150247241
203	0.3149921555
204	0.3149677545
205	0.3149344316
206	0.3149007016
207	0.3148756782
208	0.3148492817
209	0.3148242762
210	0.3147928974
211	0.3147698527
212	0.3147485219
213	0.3147241736
214	0.3146965284
215	0.3146727723
216	0.3146483459
217	0.3146211644
218	0.3145970796
219	0.3145768903
220	0.3145525816
221	0.3145287673
222	0.3145042495
223	0.3144814686
224	0.314457296
225	0.3144309846
226	0.3144095599
227	0.3143855622
228	0.3143554438
229	0.314334224
230	0.3143108087
231	0.3142892015
232	0.3142649925
233	0.3142416129
234	0.3142124402
235	0.314189699
236	0.3141709852
237	0.3141561008
238	0.3141372342
239	0.3141241587
240	0.3140986624
241	0.3140788686
242	0.3140622864
243	0.3140426618
244	0.3140307402
245	0.3140093726
246	0.3139904605
247	0.3139741257
248	0.3139595759
249	0.3139412728
250	0.3139197861
251	0.313899488
252	0.3138807051
253	0.3138537553
254	0.3138368816
255	0.3138181197
256	0.3138019921
257	0.3137906034
258	0.3137735601
259	0.31375413
260	0.3137345041
261	0.3137151732
262	0.3136987384
263	0.3136877676
264	0.3136700621
265	0.3136576985
266	0.313641968
267	0.3136281059
268	0.3136092013
269	0.313590163
270	0.3135748964
271	0.3135606836
272	0.3135505102
273	0.3135337133
274	0.3135228304
275	0.3135014133
276	0.3134897915
277	0.3134707498
278	0.313457182
279	0.313439185
280	0.3134237672
281	0.313408181
282	0.3133889847
283	0.3133778009
284	0.3133668812
285	0.313354077
286	0.3133387119
287	0.3133254385
288	0.3133131953
289	0.3132999816
290	0.3132890031
291	0.313272534
292	0.3132610651
293	0.3132520417
294	0.3132360534
295	0.3132254542
296	0.3132142602
297	0.3132065991
298	0.3131933041
299	0.3131788182
300	0.3131647424
301	0.3131545782
302	0.3131428659
303	0.3131301708
304	0.3130951533
305	0.3130849134
306	0.3130726055
307	0.3130629393
308	0.3130534875
309	0.3130424779
310	0.3130313642
311	0.3130209649
312	0.3130084199
313	0.3130007777
314	0.3129897035
315	0.3129740489
316	0.3129600845
317	0.3129518691
318	0.3129407591
319	0.3129316164
320	0.3129208527
321	0.3129116755
322	0.3129026492
323	0.31289207
324	0.3128820686
325	0.3128509643
326	0.3128365346
327	0.3128209182
328	0.3128131228
329	0.3128020404
330	0.3127950224
331	0.3127828656
332	0.3127684606
333	0.3127575157
334	0.3127482559
335	0.3127395
336	0.3127260716
337	0.3127133652
338	0.3127019034
339	0.3126878432
340	0.3126783725
341	0.3126697623
342	0.3126597926
343	0.3126540223
344	0.3126428591
345	0.3126157463
346	0.3126068613
347	0.3125956939
348	0.3125844262
349	0.3125712118
350	0.3125637828
351	0.3125533294
352	0.312543675
353	0.312536198
354	0.3125299762
355	0.3125228365
356	0.3124982577
357	0.3124880656
358	0.3124785879
359	0.3124703386
360	0.3124592094
361	0.3124510063
362	0.3124419859
363	0.3124326211
364	0.3124098275
365	0.3124023129
366	0.3123892544
367	0.3123805534
368	0.3123745133
369	0.3123638168
370	0.3123548197
371	0.312347181
372	0.3123386361
373	0.3123271766
374	0.3123142445
375	0.3123035457
376	0.3122962618
377	0.3122877745
378	0.3122824007
379	0.3122744859
380	0.3122635693
381	0.3122560662
382	0.312247181
383	0.3122404855
384	0.3122330442
385	0.3122233901
386	0.3122154951
387	0.3122054034
388	0.3121972048
389	0.3121762806
390	0.3121679147
391	0.3121620252
392	0.3121519715
393	0.312144169
394	0.3121332547
395	0.3121241905
396	0.3121157198
397	0.3121079969
398	0.312096645
399	0.3120862451
400	0.3120777647
401	0.3120712131
402	0.3120639323
403	0.3120574811
404	0.3120501138
405	0.3120429475
406	0.3120322028
407	0.3120233659
408	0.3120175265
409	0.3120105273
410	0.3120036546
411	0.3119954491
412	0.3119885625
413	0.3119810799
414	0.3119735526
415	0.3119662598
416	0.3119585484
417	0.3119489849
418	0.3119424045
419	0.3119353795
420	0.3119301396
421	0.3119118064
422	0.3119050582
423	0.3118974719
424	0.3118918137
425	0.3118859192
426	0.3118794321
427	0.3118710782
428	0.3118632355
429	0.3118566144
430	0.3118380517
431	0.3118301254
432	0.3118231794
433	0.3118164165
434	0.31180921
435	0.3118013394
436	0.311793609
437	0.3117862182
438	0.3117702682
439	0.3117625476
440	0.3117550324
441	0.3117483731
442	0.3117398541
443	0.3117326282
444	0.3117226319
445	0.3117144859
446	0.3117057108
447	0.3116983176
448	0.3116899322
449	0.3116824552
450	0.3116744408
451	0.3116597074
452	0.3116514655
453	0.3116443805
454	0.3116300775
455	0.3116161332
456	0.311608482
457	0.3116004886
458	0.3115911306
459	0.3115839643
460	0.3115775366
461	0.3115704447
462	0.311564335
463	0.311556409
464	0.311548416
465	0.3115423088
466	0.3115349801
467	0.3115276323
468	0.3115184538
469	0.3115056709
470	0.3114989013
471	0.3114912092
472	0.3114845498
473	0.3114758253
474	0.3114689724
475	0.3114572006
476	0.3114518796
477	0.3114460138
478	0.3114394812
479	0.3114328243
480	0.3114242784
481	0.3114178984
482	0.311411129
483	0.3114040535
484	0.3113966387
485	0.3113901012
486	0.3113834514
487	0.3113751712
488	0.3113628495
489	0.3113560125
490	0.3113490662
491	0.3113412164
